This log file has 2520 entries
 Make      Color    Plate    YYYY MM DD hr min sec
 Nissan    Black    BDKK-863 2021  2 24  9  0  0
 Subaru    Green    ANEJ-773 2021  2 24  9  0 20
 BMW       Red      CGBR-747 2021  2 24  9  0 40
 Toyota    Black    AWWL-864 2021  2 24  9  1  0
 VW        beige    ARFT-586 2021  2 24  9  1 20
 Volvo     beige    CKCB-709 2021  2 24  9  1 40
 Nissan    Red      CHDH-897 2021  2 24  9  2  0
 L Rover   beige    CEGF-927 2021  2 24  9  2 20
 Volvo     Green    AUGL-367 2021  2 24  9  2 40
 Toyota    Red      CUAZ-228 2021  2 24  9  3  0
 BMW       beige    AZNX-239 2021  2 24  9  3 20
 Mitsub    White    CACC-361 2021  2 24  9  3 40
 Dodge     Green    BXZX-156 2021  2 24  9  4  0
 Volvo     beige    BXFL-828 2021  2 24  9  4 20
 Ford      Silver   AWAR-742 2021  2 24  9  4 40
 Toyota    Green    AXER-679 2021  2 24  9  5  0
 Subaru    Silver   AXLZ-304 2021  2 24  9  5 20
 GM        Green    BUDD-416 2021  2 24  9  5 40
 Mazda     Silver   CMML-469 2021  2 24  9  6  0
 Jaguar    White    BBXA-687 2021  2 24  9  6 20
 VW        beige    CXLJ-816 2021  2 24  9  6 40
 Fiat      Red      CLWE-536 2021  2 24  9  7  0
 VW        Silver   BWHJ-511 2021  2 24  9  7 20
 Toyota    beige    CGZF-939 2021  2 24  9  7 40
 Mitsub    Blue     CKAT-430 2021  2 24  9  8  0
 Mitsub    Silver   BHRG-954 2021  2 24  9  8 20
 Toyota    White    AWHU-837 2021  2 24  9  8 40
 Fiat      Black    AJWH-220 2021  2 24  9  9  0
 GM        Black    BUEZ-503 2021  2 24  9  9 20
 M Benz    Green    CWTE-987 2021  2 24  9  9 40
 GM        Red      CBBL-689 2021  2 24  9 10  0
 VW        White    BKRH-656 2021  2 24  9 10 20
 Ford      Red      BAHB-370 2021  2 24  9 10 40
 Fiat      Blue     CRGL-429 2021  2 24  9 11  0
 VW        Green    AWAE-233 2021  2 24  9 11 20
 Honda     beige    CNZG-484 2021  2 24  9 11 40
 Dodge     Gray     BJJZ-629 2021  2 24  9 12  0
 Ford      Green    CTBH-795 2021  2 24  9 12 20
 Honda     Black    AADJ-717 2021  2 24  9 12 40
 Mazda     Gray     CBCW-720 2021  2 24  9 13  0
 Volvo     Silver   CAKH-163 2021  2 24  9 13 20
 GM        White    CCGW-711 2021  2 24  9 13 40
 M Benz    Gray     ATJZ-186 2021  2 24  9 14  0
 Mazda     Silver   ATRH-326 2021  2 24  9 14 20
 Jaguar    Black    CHJZ-907 2021  2 24  9 14 40
 Volvo     White    ABEC-434 2021  2 24  9 15  0
 M Benz    Green    CJLB-234 2021  2 24  9 15 20
 Nissan    Black    CXAB-704 2021  2 24  9 15 40
 Fiat      beige    CJMF-230 2021  2 24  9 16  0
 Nissan    Green    CEGR-137 2021  2 24  9 16 20
 VW        Blue     BCDM-483 2021  2 24  9 16 40
 GM        Black    BWHT-348 2021  2 24  9 17  0
 Subaru    beige    BMXZ-823 2021  2 24  9 17 20
 M Benz    Red      BJET-639 2021  2 24  9 17 40
 Ford      beige    CKMR-166 2021  2 24  9 18  0
 L Rover   Blue     CXFW-837 2021  2 24  9 18 20
 Toyota    Red      BXMA-353 2021  2 24  9 18 40
 BMW       Black    AJNL-269 2021  2 24  9 19  0
 Dodge     Red      BXRD-798 2021  2 24  9 19 20
 Hyundai   Blue     ALZN-901 2021  2 24  9 19 40
 Jaguar    Blue     CZKG-649 2021  2 24  9 20  0
 Mazda     Red      AHBJ-724 2021  2 24  9 20 20
 Subaru    Blue     ARXR-229 2021  2 24  9 20 40
 Honda     Black    BHZC-609 2021  2 24  9 21  0
 Subaru    White    BGTB-664 2021  2 24  9 21 20
 Toyota    Red      CWTX-686 2021  2 24  9 21 40
 BMW       Black    AAUG-350 2021  2 24  9 22  0
 Hyundai   Gray     BUTZ-743 2021  2 24  9 22 20
 Hyundai   Silver   CXCE-402 2021  2 24  9 22 40
 Fiat      beige    CAKK-463 2021  2 24  9 23  0
 Nissan    Gray     BLEU-322 2021  2 24  9 23 20
 Toyota    Silver   BTLT-763 2021  2 24  9 23 40
 Volvo     Black    BMMZ-503 2021  2 24  9 24  0
 Ford      Black    CDBF-399 2021  2 24  9 24 20
 Volvo     Red      CMKE-976 2021  2 24  9 24 40
 Mitsub    White    AJUC-817 2021  2 24  9 25  0
 Dodge     Black    ABJW-420 2021  2 24  9 25 20
 Honda     White    BLRC-905 2021  2 24  9 25 40
 Fiat      Gray     BWZA-951 2021  2 24  9 26  0
 Honda     Silver   BJHC-884 2021  2 24  9 26 20
 Mitsub    beige    CLMF-637 2021  2 24  9 26 40
 Toyota    Green    CBXK-171 2021  2 24  9 27  0
 L Rover   White    ARWW-708 2021  2 24  9 27 20
 Jaguar    Green    BBUG-847 2021  2 24  9 27 40
 Jaguar    White    AGJL-467 2021  2 24  9 28  0
 Volvo     Red      BDHG-127 2021  2 24  9 28 20
 VW        Red      CJNN-427 2021  2 24  9 28 40
 Honda     beige    AXMC-945 2021  2 24  9 29  0
 Hyundai   Silver   CFLA-250 2021  2 24  9 29 20
 Honda     White    ALHT-986 2021  2 24  9 29 40
 Nissan    White    AGFX-559 2021  2 24  9 30  0
 Dodge     beige    ATLX-588 2021  2 24  9 30 20
 Ford      Blue     BXTC-364 2021  2 24  9 30 40
 VW        Red      BUTM-572 2021  2 24  9 31  0
 Ford      Silver   BTWA-658 2021  2 24  9 31 20
 BMW       Black    CWAL-434 2021  2 24  9 31 40
 Toyota    beige    AEXU-144 2021  2 24  9 32  0
 VW        Silver   AGRA-326 2021  2 24  9 32 20
 Toyota    Black    BCCH-252 2021  2 24  9 32 40
 Hyundai   Gray     AAWR-292 2021  2 24  9 33  0
 Nissan    Black    BBDD-872 2021  2 24  9 33 20
 Dodge     Green    CBAL-427 2021  2 24  9 33 40
 Ford      beige    BEAX-550 2021  2 24  9 34  0
 Honda     Black    ALDZ-951 2021  2 24  9 34 20
 Nissan    Silver   CTKU-855 2021  2 24  9 34 40
 Subaru    Red      BTXZ-227 2021  2 24  9 35  0
 GM        Silver   AJFJ-715 2021  2 24  9 35 20
 Jaguar    beige    BXJH-727 2021  2 24  9 35 40
 Honda     Silver   ATDU-226 2021  2 24  9 36  0
 VW        Red      BFGL-945 2021  2 24  9 36 20
 GM        Blue     ATDK-637 2021  2 24  9 36 40
 Subaru    Green    CGBM-265 2021  2 24  9 37  0
 Honda     Green    CBGM-984 2021  2 24  9 37 20
 Mitsub    beige    ALAX-514 2021  2 24  9 37 40
 Nissan    beige    CGUL-715 2021  2 24  9 38  0
 M Benz    Silver   CJDG-132 2021  2 24  9 38 20
 Mitsub    Red      AUUD-548 2021  2 24  9 38 40
 Mazda     Blue     AZLU-836 2021  2 24  9 39  0
 Mazda     Black    AUZK-280 2021  2 24  9 39 20
 Volvo     Black    BDTJ-531 2021  2 24  9 39 40
 Mitsub    Gray     CRML-313 2021  2 24  9 40  0
 Toyota    Black    BTRZ-638 2021  2 24  9 40 20
 M Benz    White    ABHR-456 2021  2 24  9 40 40
 VW        Red      BTBG-553 2021  2 24  9 41  0
 Toyota    White    CNXN-620 2021  2 24  9 41 20
 Toyota    Silver   AZHR-471 2021  2 24  9 41 40
 L Rover   White    AHHU-139 2021  2 24  9 42  0
 Ford      Silver   AJUU-943 2021  2 24  9 42 20
 M Benz    Black    ABZB-315 2021  2 24  9 42 40
 Subaru    beige    CAWF-486 2021  2 24  9 43  0
 Ford      White    AZTB-270 2021  2 24  9 43 20
 GM        Gray     CAXC-425 2021  2 24  9 43 40
 Fiat      Silver   BFTA-348 2021  2 24  9 44  0
 Mazda     beige    AZHK-761 2021  2 24  9 44 20
 BMW       Gray     BNGZ-898 2021  2 24  9 44 40
 Subaru    beige    CMTT-223 2021  2 24  9 45  0
 Toyota    Gray     BKET-470 2021  2 24  9 45 20
 Nissan    White    BDBM-345 2021  2 24  9 45 40
 Jaguar    Gray     CDRC-534 2021  2 24  9 46  0
 Mitsub    Red      BZEM-774 2021  2 24  9 46 20
 Nissan    White    CABL-410 2021  2 24  9 46 40
 Ford      Gray     BWCG-190 2021  2 24  9 47  0
 Hyundai   White    CTAJ-602 2021  2 24  9 47 20
 M Benz    Black    CNHJ-584 2021  2 24  9 47 40
 Mitsub    Blue     BCZW-936 2021  2 24  9 48  0
 Volvo     Black    BATG-287 2021  2 24  9 48 20
 GM        Silver   AXWW-222 2021  2 24  9 48 40
 BMW       beige    CFFH-483 2021  2 24  9 49  0
 Mazda     Black    CNZC-569 2021  2 24  9 49 20
 L Rover   Silver   BHRR-379 2021  2 24  9 49 40
 Volvo     Silver   CMGC-978 2021  2 24  9 50  0
 GM        Silver   AEXR-888 2021  2 24  9 50 20
 Toyota    Black    CWBE-870 2021  2 24  9 50 40
 Ford      White    AALJ-285 2021  2 24  9 51  0
 Subaru    Blue     ADNM-948 2021  2 24  9 51 20
 Toyota    White    BAEJ-412 2021  2 24  9 51 40
 VW        Green    AUFR-505 2021  2 24  9 52  0
 Hyundai   Silver   ABUF-155 2021  2 24  9 52 20
 BMW       Silver   AFLL-817 2021  2 24  9 52 40
 Hyundai   Red      CTCC-377 2021  2 24  9 53  0
 Mazda     Gray     CTRK-459 2021  2 24  9 53 20
 Mazda     Gray     AXKB-415 2021  2 24  9 53 40
 Jaguar    Gray     CNNL-366 2021  2 24  9 54  0
 M Benz    Silver   BCUC-792 2021  2 24  9 54 20
 Fiat      Silver   BJAF-773 2021  2 24  9 54 40
 Honda     beige    AGWC-867 2021  2 24  9 55  0
 Toyota    Silver   BLUD-356 2021  2 24  9 55 20
 Toyota    beige    BMRC-976 2021  2 24  9 55 40
 Toyota    Black    AWMW-746 2021  2 24  9 56  0
 Volvo     Black    ABZZ-939 2021  2 24  9 56 20
 BMW       Silver   BHRE-996 2021  2 24  9 56 40
 Mitsub    beige    CHWH-507 2021  2 24  9 57  0
 Toyota    White    AURM-470 2021  2 24  9 57 20
 Nissan    Green    ADEZ-652 2021  2 24  9 57 40
 Hyundai   Silver   CACN-912 2021  2 24  9 58  0
 Mitsub    Silver   CBGZ-609 2021  2 24  9 58 20
 Ford      Black    CXRB-368 2021  2 24  9 58 40
 VW        White    AEEK-396 2021  2 24  9 59  0
 Honda     beige    CCNA-902 2021  2 24  9 59 20
 Mazda     Blue     ARTN-601 2021  2 24  9 59 40
 Dodge     Green    BFCW-278 2021  2 24 10  0  0
 M Benz    Blue     CUAM-472 2021  2 24 10  0 20
 L Rover   Black    BWEZ-564 2021  2 24 10  0 40
 Volvo     Blue     AWRT-470 2021  2 24 10  1  0
 Subaru    Green    CLJB-862 2021  2 24 10  1 20
